Community_ID,Size,Mastermind_ID,PageRank_Score
10,1129,7,0.029460306529034634
169,1010,4197,0.023129922859727113
1,826,13,0.019491235599738286
7,750,2642,0.0934611874216191
27,565,1953,0.07258788845723747
3,511,35,0.18436762121076034
4,287,1352,0.050143645859390164
151,157,2125,0.09225885451134974
12,145,1217,0.09053211810498966
11,69,4315,0.10604445196062252
25,61,2067,0.12957926132274233
31,60,2566,0.06257411319032403
15,40,570,0.1627188900252298
14,32,3394,0.09892596057576902
83,28,4707,0.10745585529962796
59,16,3552,0.4106566839544012
140,8,5203,0.17230697687947139
168,6,5631,0.37735791292765264
86,5,4646,0.27842711495239014
13,4,509,0.29521306459338925
98,4,5080,0.41633968714597924
44,3,5522,0.48648582432442106
71,2,3911,0.5
61,2,3762,0.5
23,2,1600,0.649122638064138
79,2,4326,0.649122638064138
91,2,4741,0.5
161,2,5544,0.5
154,2,6002,0.649122638064138
